Customer|Customer Name|Customer Currency Code|Currency|Transaction Type|Apply to Invoice|Invoice|Amount|Original Amount|Due/Payment Date|Exchange Rate|Invoice Date|Credit Hold|City|Contact|Credit Limit|Terms|Terms Code Description|Prov/State|Phone|Type|Salesperson|Name|Phone[1]
AR-M093|MCC OVERSEAS (M) SDN BHD|MYR|MYR|P|0|Open|-0.01000000|-0.01000000|13-11-20|1|13-11-20|*CREDIT HOLD*|||800000.00000000|60|60 Days||||Mei||03-4065 0111
AR-V008|VALSERV SDN BHD|MYR|MYR|I|  63724|  63724|0.05000000|0.05000000|30-11-15|1|17-09-15|*CREDIT HOLD*|||500000.00000000|60|60 Days||||||03-5513 8788*
AR-H057|HUASHI (MALAYSIA) SDN BHD|MYR|MYR|P|0|Open|0.10000000|0.10000000|26-10-18|1|26-10-18|*CREDIT HOLD*|||8000000.00000000|90|90 Days||||Mei||03-9174 5568
AR-C002|CONSEAL S/B|MYR|MYR|P|1004309|1004309|0.00000000|-0.20000000|20-01-21|1|20-01-21||||300000.00000000|30|30 Days||||Ken||03-7880 6028
AR-H057|HUASHI (MALAYSIA) SDN BHD|MYR|MYR|P|0|Open|-0.20000000|-0.20000000|26-10-18|1|26-10-18|*CREDIT HOLD*|||8000000.00000000|90|90 Days||||Mei||03-9174 5568
AR-P058|PEMBINAAN BINTANG BARU SDN BHD|MYR|MYR|P|0|Open|-0.46000000|-0.46000000|30-11-20|1|30-11-20||||10000000.00000000|0|CASH||||Mei||03-6275 6555*
AR-B028|BUMIMETRO CONSTRUCTION S/B|MYR|MYR|P|0|Open|10.19000000|10.19000000|10-09-15|1|10-09-15|*CREDIT HOLD*|||4000000.00000000|45|45 Days||||||03-6142 7200*
AR-P120|PANADUNIA SDN BHD|MYR|MYR|I|1000117|1000117|100.00000000|100.00000000|30-03-20|1|09-01-20||||2000000.00000000|60|60 Days||||Ken||03-8961 3111
AR-P120|PANADUNIA SDN BHD|MYR|MYR|I|1002686|1002686|100.00000000|100.00000000|30-10-20|1|13-08-20||||2000000.00000000|60|60 Days||||Ken||03-8961 3111
AR-A010|ALPACE ENGINEERING S/B|MYR|MYR|I|1003441|1003441|10000.00000000|10000.00000000|30-11-20|1|21-09-20||||2000000.00000000|60|60 Days||||Mei||03-5882 5389
