Company Name|Company Address|Customer|Customer Name|Customer Address|Project|Invoice|Invoice Date|Currency|Statement Date|Invoice Outstanding Amount|Bucket|Days
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-A084|ABADI PILING SDN BHD|"ABADI PILING SDN BHD
WISMA LTC, NO.333-3,
JALAN PAHANG
53000 KUALA LUMPUR"|Project: LOT PT.37526, RAWANG TASIK PUTRI|1004619|19-11-20|MYR|26-01-21 0:00|3024|Bucket 3|67
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-A084|ABADI PILING SDN BHD|"ABADI PILING SDN BHD
WISMA LTC, NO.333-3,
JALAN PAHANG
53000 KUALA LUMPUR"|Project: TAMAN DANAU DESA, KL|1005095|16-12-20|MYR|26-01-21 0:00|131685.85|Bucket 2|40
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-A084|ABADI PILING SDN BHD|"ABADI PILING SDN BHD
WISMA LTC, NO.333-3,
JALAN PAHANG
53000 KUALA LUMPUR"|Project: TAMAN DANAU DESA, KL|1005160|19-12-20|MYR|26-01-21 0:00|13050|Bucket 2|37
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-A084|ABADI PILING SDN BHD|"ABADI PILING SDN BHD
WISMA LTC, NO.333-3,
JALAN PAHANG
53000 KUALA LUMPUR"|Project: KAMPUNG BARU SUBANG, SELANGOR|1005557|16-01-21|MYR|26-01-21 0:00|25554.8|Bucket 1|9
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-A084|ABADI PILING SDN BHD|"ABADI PILING SDN BHD
WISMA LTC, NO.333-3,
JALAN PAHANG
53000 KUALA LUMPUR"|Project : CHERAS, KUALA LUMPUR|1005632|19-01-21|MYR|26-01-21 0:00|18648|Bucket 1|6
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-A077|ACCESS BENEFIT SDN BHD|"ACCESS BENEFIT SDN BHD
26-2 MEDAN KLANG LAMA 28
NO 419 JALAN KLANG LAMA
58000 KUALA LUMPUR"|Project: BLISS,OLD KLANG ROAD|1002621|07-08-20|MYR|26-01-21 0:00|14810.4|Bucket 5|171
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-A077|ACCESS BENEFIT SDN BHD|"ACCESS BENEFIT SDN BHD
26-2 MEDAN KLANG LAMA 28
NO 419 JALAN KLANG LAMA
58000 KUALA LUMPUR"|Project: BLISS,OLD KLANG ROAD|1002688|13-08-20|MYR|26-01-21 0:00|54751.38|Bucket 5|165
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-A077|ACCESS BENEFIT SDN BHD|"ACCESS BENEFIT SDN BHD
26-2 MEDAN KLANG LAMA 28
NO 419 JALAN KLANG LAMA
58000 KUALA LUMPUR"|Project: BLISS,OLD KLANG ROAD|1002718|14-08-20|MYR|26-01-21 0:00|53003.12|Bucket 5|164
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-A077|ACCESS BENEFIT SDN BHD|"ACCESS BENEFIT SDN BHD
26-2 MEDAN KLANG LAMA 28
NO 419 JALAN KLANG LAMA
58000 KUALA LUMPUR"|Project: BLISS,OLD KLANG ROAD|1003012|27-08-20|MYR|26-01-21 0:00|110297.7|Bucket 5|151
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-A077|ACCESS BENEFIT SDN BHD|"ACCESS BENEFIT SDN BHD
26-2 MEDAN KLANG LAMA 28
NO 419 JALAN KLANG LAMA
58000 KUALA LUMPUR"|Project: BLISS,OLD KLANG ROAD|1003455|21-09-20|MYR|26-01-21 0:00|71150.35|Bucket 5|126
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-A077|ACCESS BENEFIT SDN BHD|"ACCESS BENEFIT SDN BHD
26-2 MEDAN KLANG LAMA 28
NO 419 JALAN KLANG LAMA
58000 KUALA LUMPUR"|Project: BLISS,OLD KLANG ROAD|1003676|01-10-20|MYR|26-01-21 0:00|113608|Bucket 4|116
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-C018|CASTMET SDN BHD|"CASTMET SDN BHD
10-2 MENARA MUDAJAYA
NO 12A JALAN PJU 7/3
MUTIARA DAMANSARA
47810 PETALING JAYA"|CYBER 10, MUKIM DENGKIL|  74477|02-12-16|MYR|26-01-21 0:00|14845.51||1515
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-C018|CASTMET SDN BHD|"CASTMET SDN BHD
10-2 MENARA MUDAJAYA
NO 12A JALAN PJU 7/3
MUTIARA DAMANSARA
47810 PETALING JAYA"|CYBER 10, MUKIM DENGKIL|  74596|06-12-16|MYR|26-01-21 0:00|8483.46||1511
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-C018|CASTMET SDN BHD|"CASTMET SDN BHD
10-2 MENARA MUDAJAYA
NO 12A JALAN PJU 7/3
MUTIARA DAMANSARA
47810 PETALING JAYA"|CYBER 10, MUKIM DENGKIL|  74629|08-12-16|MYR|26-01-21 0:00|33997||1509
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-C018|CASTMET SDN BHD|"CASTMET SDN BHD
10-2 MENARA MUDAJAYA
NO 12A JALAN PJU 7/3
MUTIARA DAMANSARA
47810 PETALING JAYA"|CYBER 10, MUKIM DENGKIL|  74632|08-12-16|MYR|26-01-21 0:00|22689.11||1509
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-C018|CASTMET SDN BHD|"CASTMET SDN BHD
10-2 MENARA MUDAJAYA
NO 12A JALAN PJU 7/3
MUTIARA DAMANSARA
47810 PETALING JAYA"|CYBER 10, MUKIM DENGKIL|  75520|16-01-17|MYR|26-01-21 0:00|18889.2||1470
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-C018|CASTMET SDN BHD|"CASTMET SDN BHD
10-2 MENARA MUDAJAYA
NO 12A JALAN PJU 7/3
MUTIARA DAMANSARA
47810 PETALING JAYA"|CYBER 10, MUKIM DENGKIL|  75698|08-02-17|MYR|26-01-21 0:00|57241.52||1447
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-C018|CASTMET SDN BHD|"CASTMET SDN BHD
10-2 MENARA MUDAJAYA
NO 12A JALAN PJU 7/3
MUTIARA DAMANSARA
47810 PETALING JAYA"|CYBER 10, MUKIM DENGKIL|  75699|08-02-17|MYR|26-01-21 0:00|13162.34||1447
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-C018|CASTMET SDN BHD|"CASTMET SDN BHD
10-2 MENARA MUDAJAYA
NO 12A JALAN PJU 7/3
MUTIARA DAMANSARA
47810 PETALING JAYA"|CYBER 10, MUKIM DENGKIL|  75702|08-02-17|MYR|26-01-21 0:00|33423.25||1447
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-C018|CASTMET SDN BHD|"CASTMET SDN BHD
10-2 MENARA MUDAJAYA
NO 12A JALAN PJU 7/3
MUTIARA DAMANSARA
47810 PETALING JAYA"|CYBER 10, MUKIM DENGKIL|  76046|18-02-17|MYR|26-01-21 0:00|50545.97||1437
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-C018|CASTMET SDN BHD|"CASTMET SDN BHD
10-2 MENARA MUDAJAYA
NO 12A JALAN PJU 7/3
MUTIARA DAMANSARA
47810 PETALING JAYA"|CYBER 10, MUKIM DENGKIL|  76057|18-02-17|MYR|26-01-21 0:00|52415.58||1437
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-C018|CASTMET SDN BHD|"CASTMET SDN BHD
10-2 MENARA MUDAJAYA
NO 12A JALAN PJU 7/3
MUTIARA DAMANSARA
47810 PETALING JAYA"|CYBER 10, MUKIM DENGKIL|  77602|12-04-17|MYR|26-01-21 0:00|17542.64||1384
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-C018|CASTMET SDN BHD|"CASTMET SDN BHD
10-2 MENARA MUDAJAYA
NO 12A JALAN PJU 7/3
MUTIARA DAMANSARA
47810 PETALING JAYA"|CYBER 10, MUKIM DENGKIL|  77623|12-04-17|MYR|26-01-21 0:00|8257.78||1384
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-C018|CASTMET SDN BHD|"CASTMET SDN BHD
10-2 MENARA MUDAJAYA
NO 12A JALAN PJU 7/3
MUTIARA DAMANSARA
47810 PETALING JAYA"|CYBER 10, MUKIM DENGKIL|  77520|13-04-17|MYR|26-01-21 0:00|20552.13||1383
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-C018|CASTMET SDN BHD|"CASTMET SDN BHD
10-2 MENARA MUDAJAYA
NO 12A JALAN PJU 7/3
MUTIARA DAMANSARA
47810 PETALING JAYA"|CYBER 10, MUKIM DENGKIL|  77608|13-04-17|MYR|26-01-21 0:00|15682.79||1383
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-C018|CASTMET SDN BHD|"CASTMET SDN BHD
10-2 MENARA MUDAJAYA
NO 12A JALAN PJU 7/3
MUTIARA DAMANSARA
47810 PETALING JAYA"|CYBER 10, MUKIM DENGKIL|  77553|14-04-17|MYR|26-01-21 0:00|11478.6||1382
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-C018|CASTMET SDN BHD|"CASTMET SDN BHD
10-2 MENARA MUDAJAYA
NO 12A JALAN PJU 7/3
MUTIARA DAMANSARA
47810 PETALING JAYA"|CYBER 10, MUKIM DENGKIL|  78005|04-05-17|MYR|26-01-21 0:00|6881.77||1362
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-C018|CASTMET SDN BHD|"CASTMET SDN BHD
10-2 MENARA MUDAJAYA
NO 12A JALAN PJU 7/3
MUTIARA DAMANSARA
47810 PETALING JAYA"|CYBER 10, MUKIM DENGKIL|  78009|04-05-17|MYR|26-01-21 0:00|7074.87||1362
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-C018|CASTMET SDN BHD|"CASTMET SDN BHD
10-2 MENARA MUDAJAYA
NO 12A JALAN PJU 7/3
MUTIARA DAMANSARA
47810 PETALING JAYA"|CYBER 10, MUKIM DENGKIL|  78010|04-05-17|MYR|26-01-21 0:00|19779.09||1362
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-C018|CASTMET SDN BHD|"CASTMET SDN BHD
10-2 MENARA MUDAJAYA
NO 12A JALAN PJU 7/3
MUTIARA DAMANSARA
47810 PETALING JAYA"|CYBER 10, MUKIM DENGKIL|  78011|04-05-17|MYR|26-01-21 0:00|24699.7||1362
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-C018|CASTMET SDN BHD|"CASTMET SDN BHD
10-2 MENARA MUDAJAYA
NO 12A JALAN PJU 7/3
MUTIARA DAMANSARA
47810 PETALING JAYA"|CYBER 10, MUKIM DENGKIL|  78012|04-05-17|MYR|26-01-21 0:00|4786.54||1362
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-C018|CASTMET SDN BHD|"CASTMET SDN BHD
10-2 MENARA MUDAJAYA
NO 12A JALAN PJU 7/3
MUTIARA DAMANSARA
47810 PETALING JAYA"|CYBER 10, MUKIM DENGKIL|  78143|12-05-17|MYR|26-01-21 0:00|12241.52||1354
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-C018|CASTMET SDN BHD|"CASTMET SDN BHD
10-2 MENARA MUDAJAYA
NO 12A JALAN PJU 7/3
MUTIARA DAMANSARA
47810 PETALING JAYA"|CYBER 10, MUKIM DENGKIL|  78144|12-05-17|MYR|26-01-21 0:00|14704.19||1354
