Company Name|Company Address|Customer|Customer Name|Customer Address|Project|Invoice|Invoice Date|Currency|Statement Date|Invoice Outstanding Amount|Bucket|Days
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-U030|UNIPENTA SDN BHD|"UNIPENTA SDN BHD
SUITE 01, UNIT H-2 (2ND FLOOR),
EXCELLA BUSINESS PARK,
JALAN AMPANG PUTRA, TAMAN AMPANG HILIR,
55100 KUALA LUMPUR"|Project: POLIKLINIK, SG PETANI, KEDAH|1005286|12/28/2020|MYR|1/3/2021 0:00|69666.66|Bucket 1|5
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-U023|UNITIN ENGINEERING & CONSTRUCTION SDN BHD|"UNITIN ENGINEERING & CONSTRUCTION SDN BHD
WISMA GALIAN, 5B-7B, JALAN AWAN HIJAU,
OVERSEAS UNION GARDEN,
5TH MILE, OFF JALAN KLANG LAMA
58200 KUALA LUMPUR"|Project : TAMAN PUCHONG LEGENDA|1005294|12/30/2020|MYR|1/3/2021 0:00|10500|Bucket 1|3
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-V008|VALSERV SDN BHD|"VALSERV SDN BHD
NO.59, JALAN BOLA JARING 13/15
SEKSYEN 13
40100 SHAH ALAM
SELANGOR"|SUBANG DEPT|  63018|8/12/2015|MYR|1/3/2021 0:00|20953.66||1970
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-V008|VALSERV SDN BHD|"VALSERV SDN BHD
NO.59, JALAN BOLA JARING 13/15
SEKSYEN 13
40100 SHAH ALAM
SELANGOR"|SUBANG DEPT|  63430|9/2/2015|MYR|1/3/2021 0:00|20953.66||1949
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-V008|VALSERV SDN BHD|"VALSERV SDN BHD
NO.59, JALAN BOLA JARING 13/15
SEKSYEN 13
40100 SHAH ALAM
SELANGOR"|SUBANG DEPT|  64470|10/10/2015|MYR|1/3/2021 0:00|19557||1911
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-V008|VALSERV SDN BHD|"VALSERV SDN BHD
NO.59, JALAN BOLA JARING 13/15
SEKSYEN 13
40100 SHAH ALAM
SELANGOR"|SUBANG DEPT|  65538|11/24/2015|MYR|1/3/2021 0:00|5641.57||1866
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-V008|VALSERV SDN BHD|"VALSERV SDN BHD
NO.59, JALAN BOLA JARING 13/15
SEKSYEN 13
40100 SHAH ALAM
SELANGOR"|PUTRA HEIGHTS|  62692|8/6/2015|MYR|1/3/2021 0:00|14348.16||1976
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-V008|VALSERV SDN BHD|"VALSERV SDN BHD
NO.59, JALAN BOLA JARING 13/15
SEKSYEN 13
40100 SHAH ALAM
SELANGOR"|PUTRA HEIGHTS|  62687|8/12/2015|MYR|1/3/2021 0:00|354.85||1970
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-V008|VALSERV SDN BHD|"VALSERV SDN BHD
NO.59, JALAN BOLA JARING 13/15
SEKSYEN 13
40100 SHAH ALAM
SELANGOR"|PUTRA HEIGHTS|  62726|8/12/2015|MYR|1/3/2021 0:00|14204||1970
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-V008|VALSERV SDN BHD|"VALSERV SDN BHD
NO.59, JALAN BOLA JARING 13/15
SEKSYEN 13
40100 SHAH ALAM
SELANGOR"|PUTRA HEIGHTS|  62989|8/21/2015|MYR|1/3/2021 0:00|5641.57||1961
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-V008|VALSERV SDN BHD|"VALSERV SDN BHD
NO.59, JALAN BOLA JARING 13/15
SEKSYEN 13
40100 SHAH ALAM
SELANGOR"|PUTRA HEIGHTS|  63195|8/27/2015|MYR|1/3/2021 0:00|1981.14||1955
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-V008|VALSERV SDN BHD|"VALSERV SDN BHD
NO.59, JALAN BOLA JARING 13/15
SEKSYEN 13
40100 SHAH ALAM
SELANGOR"|PUTRA HEIGHTS|  63327|9/2/2015|MYR|1/3/2021 0:00|19866.52||1949
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-V008|VALSERV SDN BHD|"VALSERV SDN BHD
NO.59, JALAN BOLA JARING 13/15
SEKSYEN 13
40100 SHAH ALAM
SELANGOR"|PUTRA HEIGHTS|  63332|9/2/2015|MYR|1/3/2021 0:00|7155||1949
MAKIN JUTA SDN BHD|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|AR-V008|VALSERV SDN BHD|"VALSERV SDN BHD
NO.59, JALAN BOLA JARING 13/15
SEKSYEN 13
40100 SHAH ALAM
SELANGOR"|PUTRA HEIGHTS|  63662|9/15/2015|MYR|1/3/2021 0:00|2140.14||1936
