Postal/ZIP|Internet URL|Type|TotalDueBalance|Terms|Tamtagebal5|Tamtagebal4|Tamtagebal3|Tamtagebal2|Tamtagebal1|StdCh|Date|Prov/State|Name|Site|G/L Reference|Project|Phone|Row Pointer|Pamount|Pairvalue|Address|Address|Namount|Name|Invoice Seq|Invoice|Phone|Eurotamtagebal5|Eurotamtagebal4|Eurotamtagebal3|Eurotamtagebal2|Eurotamtagebal1|Europamount|Eurobalance2|Email|Date|Description|Address|Debit|Date|CustSeq|Customer|Address|Name|Currency|Currency|Postal/ZIP|Address|Credit|User Name|CreateDate|Country|Contact|City|Bank Transit Number|Name|Bank Account|Balance2|Balance1|Invoice|Number of Invoices|Address|Address|Address|Address
||Invoice||60|0|0|43792.75|251800.9|1186502.3|I|23-04-21 0:00||MJSB|MJSB|1004977|Project: AURORA SIME DARBY, SUBANG JAYA|03-5882 5389|9ec8b6fb-9554-4cbc-ae0e-82c388037a4f|4543|0|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|"MAKIN JUTA SDN BHD, 1816, Jalan KPB 1,, Kawasan Perindustrian Kg Baru Balakong, 43300 Seri Kembangan Selangor, 
P: 603 8961 3111"|0|ALPACE ENGINEERING S/B|0|1004977|03-5882 4389|0|0|0|0|0|0|0||28-02-21|60 Days|"ALPACE ENGINEERING S/B
38-B JALAN BPU 9
BANDAR PUCHONG UTAMA
47100 PUCHONG
SELANGOR
03-5882 4389"||28-02-21|32|AR-A010|"ALPACE ENGINEERING S/B
38-B JALAN BPU 9
BANDAR PUCHONG UTAMA
47100 PUCHONG
SELANGOR"|MAKIN JUTA SDN BHD|MYR|MYR||1816, Jalan KPB 1,|||||||        |Malayan Banking Bhd|5140 4842 1126|4543|4543|1004977|1|SELANGOR|47100 PUCHONG|BANDAR PUCHONG UTAMA|38-B JALAN BPU 9
||Invoice||60|0|0|43792.75|251800.9|1186502.3|I|23-04-21 0:00||MJSB|MJSB|1005104|Project : LRT 3, STATION 22|03-5882 5389|5961c8ae-1803-4a82-ab0d-0693c583b5af|6318|0|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|"MAKIN JUTA SDN BHD, 1816, Jalan KPB 1,, Kawasan Perindustrian Kg Baru Balakong, 43300 Seri Kembangan Selangor, 
P: 603 8961 3111"|0|ALPACE ENGINEERING S/B|0|1005104|03-5882 4389|0|0|0|0|0|0|0||28-02-21|60 Days|"ALPACE ENGINEERING S/B
38-B JALAN BPU 9
BANDAR PUCHONG UTAMA
47100 PUCHONG
SELANGOR
03-5882 4389"||28-02-21|28|AR-A010|"ALPACE ENGINEERING S/B
38-B JALAN BPU 9
BANDAR PUCHONG UTAMA
47100 PUCHONG
SELANGOR"|MAKIN JUTA SDN BHD|MYR|MYR||1816, Jalan KPB 1,|||||||        |Malayan Banking Bhd|5140 4842 1126|6318|10861|1005104|1|SELANGOR|47100 PUCHONG|BANDAR PUCHONG UTAMA|38-B JALAN BPU 9
||Invoice||60|0|0|43792.75|251800.9|1186502.3|I|23-04-21 0:00||MJSB|MJSB|1005152|Project : SMC4, ANNEX SUNWAY|03-5882 5389|a2466d20-70c7-40c1-a622-156afaba9ab3|6700|0|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|"MAKIN JUTA SDN BHD, 1816, Jalan KPB 1,, Kawasan Perindustrian Kg Baru Balakong, 43300 Seri Kembangan Selangor, 
P: 603 8961 3111"|0|ALPACE ENGINEERING S/B|0|1005152|03-5882 4389|0|0|0|0|0|0|0||28-02-21|60 Days|"ALPACE ENGINEERING S/B
38-B JALAN BPU 9
BANDAR PUCHONG UTAMA
47100 PUCHONG
SELANGOR
03-5882 4389"||28-02-21|16|AR-A010|"ALPACE ENGINEERING S/B
38-B JALAN BPU 9
BANDAR PUCHONG UTAMA
47100 PUCHONG
SELANGOR"|MAKIN JUTA SDN BHD|MYR|MYR||1816, Jalan KPB 1,|||||||        |Malayan Banking Bhd|5140 4842 1126|6700|17561|1005152|1|SELANGOR|47100 PUCHONG|BANDAR PUCHONG UTAMA|38-B JALAN BPU 9
||Invoice||60|0|0|43792.75|251800.9|1186502.3|I|23-04-21 0:00||MJSB|MJSB|1005153|Project : SMC4, ANNEX SUNWAY|03-5882 5389|ee279ee5-af9e-4932-a0e8-1b9835c1421f|20723.75|0|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|"MAKIN JUTA SDN BHD, 1816, Jalan KPB 1,, Kawasan Perindustrian Kg Baru Balakong, 43300 Seri Kembangan Selangor, 
P: 603 8961 3111"|0|ALPACE ENGINEERING S/B|0|1005153|03-5882 4389|0|0|0|0|0|0|0||28-02-21|60 Days|"ALPACE ENGINEERING S/B
38-B JALAN BPU 9
BANDAR PUCHONG UTAMA
47100 PUCHONG
SELANGOR
03-5882 4389"||28-02-21|16|AR-A010|"ALPACE ENGINEERING S/B
38-B JALAN BPU 9
BANDAR PUCHONG UTAMA
47100 PUCHONG
SELANGOR"|MAKIN JUTA SDN BHD|MYR|MYR||1816, Jalan KPB 1,|||||||        |Malayan Banking Bhd|5140 4842 1126|20723.75|38284.75|1005153|1|SELANGOR|47100 PUCHONG|BANDAR PUCHONG UTAMA|38-B JALAN BPU 9
||Invoice||60|0|0|43792.75|251800.9|1186502.3|I|23-04-21 0:00||MJSB|MJSB|1005316|Project : LRT 3, STATION 22|03-5882 5389|d8477064-fd19-455b-a12f-b1ac11f7e133|5508|0|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|"MAKIN JUTA SDN BHD, 1816, Jalan KPB 1,, Kawasan Perindustrian Kg Baru Balakong, 43300 Seri Kembangan Selangor, 
P: 603 8961 3111"|0|ALPACE ENGINEERING S/B|0|1005316|03-5882 4389|0|0|0|0|0|0|0||28-02-21|60 Days|"ALPACE ENGINEERING S/B
38-B JALAN BPU 9
BANDAR PUCHONG UTAMA
47100 PUCHONG
SELANGOR
03-5882 4389"||28-02-21|28|AR-A010|"ALPACE ENGINEERING S/B
38-B JALAN BPU 9
BANDAR PUCHONG UTAMA
47100 PUCHONG
SELANGOR"|MAKIN JUTA SDN BHD|MYR|MYR||1816, Jalan KPB 1,|||||||        |Malayan Banking Bhd|5140 4842 1126|5508|43792.75|1005316|1|SELANGOR|47100 PUCHONG|BANDAR PUCHONG UTAMA|38-B JALAN BPU 9
||Invoice||60|0|0|43792.75|251800.9|1186502.3|I|23-04-21 0:00||MJSB|MJSB|1005353|Project: AURORA SIME DARBY, SUBANG JAYA|03-5882 5389|44ea976e-fe65-4a04-9040-fdeda1873ad0|5508|0|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|"MAKIN JUTA SDN BHD, 1816, Jalan KPB 1,, Kawasan Perindustrian Kg Baru Balakong, 43300 Seri Kembangan Selangor, 
P: 603 8961 3111"|0|ALPACE ENGINEERING S/B|0|1005353|03-5882 4389|0|0|0|0|0|0|0||31-03-21|60 Days|"ALPACE ENGINEERING S/B
38-B JALAN BPU 9
BANDAR PUCHONG UTAMA
47100 PUCHONG
SELANGOR
03-5882 4389"||31-03-21|32|AR-A010|"ALPACE ENGINEERING S/B
38-B JALAN BPU 9
BANDAR PUCHONG UTAMA
47100 PUCHONG
SELANGOR"|MAKIN JUTA SDN BHD|MYR|MYR||1816, Jalan KPB 1,|||||||        |Malayan Banking Bhd|5140 4842 1126|5508|49300.75|1005353|1|SELANGOR|47100 PUCHONG|BANDAR PUCHONG UTAMA|38-B JALAN BPU 9
||Invoice||60|0|0|43792.75|251800.9|1186502.3|I|23-04-21 0:00||MJSB|MJSB|1005371|Project: AURORA SIME DARBY, SUBANG JAYA|03-5882 5389|c1fd4f8f-aa04-452b-b8cd-b7882a3fbba0|41204|0|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|"MAKIN JUTA SDN BHD, 1816, Jalan KPB 1,, Kawasan Perindustrian Kg Baru Balakong, 43300 Seri Kembangan Selangor, 
P: 603 8961 3111"|0|ALPACE ENGINEERING S/B|0|1005371|03-5882 4389|0|0|0|0|0|0|0||31-03-21|60 Days|"ALPACE ENGINEERING S/B
38-B JALAN BPU 9
BANDAR PUCHONG UTAMA
47100 PUCHONG
SELANGOR
03-5882 4389"||31-03-21|32|AR-A010|"ALPACE ENGINEERING S/B
38-B JALAN BPU 9
BANDAR PUCHONG UTAMA
47100 PUCHONG
SELANGOR"|MAKIN JUTA SDN BHD|MYR|MYR||1816, Jalan KPB 1,|||||||        |Malayan Banking Bhd|5140 4842 1126|41204|90504.75|1005371|1|SELANGOR|47100 PUCHONG|BANDAR PUCHONG UTAMA|38-B JALAN BPU 9
||Invoice||60|0|0|43792.75|251800.9|1186502.3|I|23-04-21 0:00||MJSB|MJSB|1005575|Project : LRT3 STATION 25|03-5882 5389|b4afa82c-ca68-464f-81ed-3b9ff2590fe8|69356.4|0|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|"MAKIN JUTA SDN BHD, 1816, Jalan KPB 1,, Kawasan Perindustrian Kg Baru Balakong, 43300 Seri Kembangan Selangor, 
P: 603 8961 3111"|0|ALPACE ENGINEERING S/B|0|1005575|03-5882 4389|0|0|0|0|0|0|0||31-03-21|60 Days|"ALPACE ENGINEERING S/B
38-B JALAN BPU 9
BANDAR PUCHONG UTAMA
47100 PUCHONG
SELANGOR
03-5882 4389"||31-03-21|35|AR-A010|"ALPACE ENGINEERING S/B
38-B JALAN BPU 9
BANDAR PUCHONG UTAMA
47100 PUCHONG
SELANGOR"|MAKIN JUTA SDN BHD|MYR|MYR||1816, Jalan KPB 1,|||||||        |Malayan Banking Bhd|5140 4842 1126|69356.4|159861.15|1005575|1|SELANGOR|47100 PUCHONG|BANDAR PUCHONG UTAMA|38-B JALAN BPU 9
||Invoice||60|0|0|43792.75|251800.9|1186502.3|I|23-04-21 0:00||MJSB|MJSB|1005578|Project: AURORA SIME DARBY, SUBANG JAYA|03-5882 5389|76ab1729-a5ed-4e18-865f-c3fe4456ecc2|8871|0|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|"MAKIN JUTA SDN BHD, 1816, Jalan KPB 1,, Kawasan Perindustrian Kg Baru Balakong, 43300 Seri Kembangan Selangor, 
P: 603 8961 3111"|0|ALPACE ENGINEERING S/B|0|1005578|03-5882 4389|0|0|0|0|0|0|0||31-03-21|60 Days|"ALPACE ENGINEERING S/B
38-B JALAN BPU 9
BANDAR PUCHONG UTAMA
47100 PUCHONG
SELANGOR
03-5882 4389"||31-03-21|32|AR-A010|"ALPACE ENGINEERING S/B
38-B JALAN BPU 9
BANDAR PUCHONG UTAMA
47100 PUCHONG
SELANGOR"|MAKIN JUTA SDN BHD|MYR|MYR||1816, Jalan KPB 1,|||||||        |Malayan Banking Bhd|5140 4842 1126|8871|168732.15|1005578|1|SELANGOR|47100 PUCHONG|BANDAR PUCHONG UTAMA|38-B JALAN BPU 9
||Invoice||60|0|0|43792.75|251800.9|1186502.3|I|23-04-21 0:00||MJSB|MJSB|1005579|Project : LRT3 STATION 25|03-5882 5389|d8132abc-3c55-4e40-b8ef-a0ed2829985f|11016|0|"MAKIN JUTA SDN BHD
1816, Jalan KPB 1,"|"MAKIN JUTA SDN BHD, 1816, Jalan KPB 1,, Kawasan Perindustrian Kg Baru Balakong, 43300 Seri Kembangan Selangor, 
P: 603 8961 3111"|0|ALPACE ENGINEERING S/B|0|1005579|03-5882 4389|0|0|0|0|0|0|0||31-03-21|60 Days|"ALPACE ENGINEERING S/B
38-B JALAN BPU 9
BANDAR PUCHONG UTAMA
47100 PUCHONG
SELANGOR
03-5882 4389"||31-03-21|35|AR-A010|"ALPACE ENGINEERING S/B
38-B JALAN BPU 9
BANDAR PUCHONG UTAMA
47100 PUCHONG
SELANGOR"|MAKIN JUTA SDN BHD|MYR|MYR||1816, Jalan KPB 1,|||||||        |Malayan Banking Bhd|5140 4842 1126|11016|179748.15|1005579|1|SELANGOR|47100 PUCHONG|BANDAR PUCHONG UTAMA|38-B JALAN BPU 9
