Company Name|Company Address|Customer|Customer Name|Customer Address|Project|Invoice|Invoice Date|Currency|Statement Date|Invoice Outstanding Amount|Bucket|Day
MAKIN JUTA SDN BHD|1816, Jalan KPB 1,|AR-M093|MCC OVERSEAS (M) SDN BHD|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA"||0|13-11-20|MYR|08-05-21 0:00|-0.01|Bucket 5|175
MAKIN JUTA SDN BHD|1816, Jalan KPB 1,|AR-M093|MCC OVERSEAS (M) SDN BHD|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA"||0|31-12-19|MYR|08-05-21 0:00|-3936.82|Bucket 5|493
MAKIN JUTA SDN BHD|1816, Jalan KPB 1,|AR-M093|MCC OVERSEAS (M) SDN BHD|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA"||CN19001|31-12-19|MYR|08-05-21 0:00|1968.41|Bucket 5|493
MAKIN JUTA SDN BHD|1816, Jalan KPB 1,|AR-M093|MCC OVERSEAS (M) SDN BHD|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA"||DN20071|31-07-20|MYR|08-05-21 0:00|12353.7|Bucket 5|280
MAKIN JUTA SDN BHD|1816, Jalan KPB 1,|AR-M093|MCC OVERSEAS (M) SDN BHD|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA"||DN20072|31-07-20|MYR|08-05-21 0:00|9335.04|Bucket 5|280
MAKIN JUTA SDN BHD|1816, Jalan KPB 1,|AR-M093|MCC OVERSEAS (M) SDN BHD|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA"||DN20094|31-08-20|MYR|08-05-21 0:00|12870.06|Bucket 5|249
MAKIN JUTA SDN BHD|1816, Jalan KPB 1,|AR-M093|MCC OVERSEAS (M) SDN BHD|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA"||DN20095|31-08-20|MYR|08-05-21 0:00|10487.23|Bucket 5|249
MAKIN JUTA SDN BHD|1816, Jalan KPB 1,|AR-M093|MCC OVERSEAS (M) SDN BHD|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA"||DN20122|30-09-20|MYR|08-05-21 0:00|15042.65|Bucket 5|219
MAKIN JUTA SDN BHD|1816, Jalan KPB 1,|AR-M093|MCC OVERSEAS (M) SDN BHD|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA"||DN20123|30-09-20|MYR|08-05-21 0:00|10487.23|Bucket 5|219
MAKIN JUTA SDN BHD|1816, Jalan KPB 1,|AR-M093|MCC OVERSEAS (M) SDN BHD|"MCC OVERSEAS (M) SDN BHD
LEVEL B3, B1 & LG , BLOCK E6, EMPIRE DAMANSARA
NO.2 JALAN PJU 8/8A
BANDAR DAMANSARA PERDANA
47820 PETALING JAYA"||DN20144|31-10-20|MYR|08-05-21 0:00|8291.83|Bucket 5|188
