Company Name|Company Address|Customer|Customer Name|Customer Address|Project|Invoice|Invoice Date|Currency|Statement Date|Invoice Outstanding Amount|Bucket|Day
MAKIN JUTA SDN BHD|1816, Jalan KPB 1,|AR-0000|CASH SALES|CASH SALES|Project: BALAKONG|1006863|01-04-21|MYR|01-05-21 0:00|750|Bucket 2|29
MAKIN JUTA SDN BHD|1816, Jalan KPB 1,|AR-0000|CASH SALES|CASH SALES|Project: BALAKONG|1006863|06-04-21|MYR|01-05-21 0:00|-750|Bucket 2|24
MAKIN JUTA SDN BHD|1816, Jalan KPB 1,|AR-0000|CASH SALES|CASH SALES|Project : KAJANG, SELANGOR|1007285|22-04-21|MYR|01-05-21 0:00|6685.6|Bucket 2|8
MAKIN JUTA SDN BHD|1816, Jalan KPB 1,|AR-0000|CASH SALES|CASH SALES|Project : KAJANG, SELANGOR|1007285|21-04-21|MYR|01-05-21 0:00|-6685.6|Bucket 2|9
MAKIN JUTA SDN BHD|1816, Jalan KPB 1,|AR-0000|CASH SALES|CASH SALES|Project: TAMAN PERTAMA CHERAS, KL|1007427|27-04-21|MYR|01-05-21 0:00|5756|Bucket 2|3
MAKIN JUTA SDN BHD|1816, Jalan KPB 1,|AR-0000|CASH SALES|CASH SALES|Project: TAMAN PERTAMA CHERAS, KL|1007427|23-04-21|MYR|01-05-21 0:00|-5756|Bucket 2|7
MAKIN JUTA SDN BHD|1816, Jalan KPB 1,|AR-A003|ADVANCED GEOMECHANICS S/B|"ADVANCED GEOMECHANICS S/B
SUITE 2B-7-1, BLOCK 2B,
PLAZA SENTRAL, JALAN STESEN SENTRAL 5
50470 KUALA LUMPUR"|Project : ECOWORLD, JENJAROM|1007627|06-05-21|MYR|01-05-21 0:00|31750.7|Bucket 1|-6
MAKIN JUTA SDN BHD|1816, Jalan KPB 1,|AR-A010|ALPACE ENGINEERING S/B|"ALPACE ENGINEERING S/B
38-B JALAN BPU 9
BANDAR PUCHONG UTAMA
47100 PUCHONG
SELANGOR"|Project : LRT3 STATION 25|1005860|03-02-21|MYR|01-05-21 0:00|795.9|Bucket 4|86
MAKIN JUTA SDN BHD|1816, Jalan KPB 1,|AR-A010|ALPACE ENGINEERING S/B|"ALPACE ENGINEERING S/B
38-B JALAN BPU 9
BANDAR PUCHONG UTAMA
47100 PUCHONG
SELANGOR"|Project: PMU MAHKOTA CHERAS, SELANGOR|1005978|16-02-21|MYR|01-05-21 0:00|41952|Bucket 4|73
MAKIN JUTA SDN BHD|1816, Jalan KPB 1,|AR-A010|ALPACE ENGINEERING S/B|"ALPACE ENGINEERING S/B
38-B JALAN BPU 9
BANDAR PUCHONG UTAMA
47100 PUCHONG
SELANGOR"|Project: LRT3 STATION 26|1006033|20-02-21|MYR|01-05-21 0:00|104832|Bucket 4|69
MAKIN JUTA SDN BHD|1816, Jalan KPB 1,|AR-A010|ALPACE ENGINEERING S/B|"ALPACE ENGINEERING S/B
38-B JALAN BPU 9
BANDAR PUCHONG UTAMA
47100 PUCHONG
SELANGOR"|Project: GENTING SEMPAH, BENTONG PAHANG|1006106|24-02-21|MYR|01-05-21 0:00|64477.5|Bucket 4|65
